PartitionKey,RowKey,Timestamp,url,url@type,phrase,phrase@type,urlstill,urlstill@type
tasksSign,1093,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/3o7TKPlo7I24U4mnW8/200.gif,Edm.String,Fashion Show,Edm.String,https://media2.giphy.com/media/3o7TKPlo7I24U4mnW8/200_s.gif,Edm.String
tasksSign,1094,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l0HlKsuKXeDHGhoFW/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/l0HlKsuKXeDHGhoFW/200_s.gif,Edm.String
tasksSign,1095,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/3o7TKKaCb5bjauQXAs/200.gif,Edm.String,,Edm.String,https://media3.giphy.com/media/3o7TKKaCb5bjauQXAs/200_s.gif,Edm.String
tasksSign,1096,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/l3vR2I6WmCs5RF1HG/200.gif,Edm.String,Snowmobile,Edm.String,https://media3.giphy.com/media/l3vR2I6WmCs5RF1HG/200_s.gif,Edm.String
tasksSign,1097,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/3o6ZtgXId06oAaLYGY/200.gif,Edm.String,Chipmunk,Edm.String,https://media3.giphy.com/media/3o6ZtgXId06oAaLYGY/200_s.gif,Edm.String
tasksSign,1098,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/26FKY503BUukGOlna/200.gif,Edm.String,iant lane,Edm.String,https://media2.giphy.com/media/26FKY503BUukGOlna/200_s.gif,Edm.String
tasksSign,1099,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l4JyQgRFlX8rgpnKE/200.gif,Edm.String,Beer Belly,Edm.String,https://media1.giphy.com/media/l4JyQgRFlX8rgpnKE/200_s.gif,Edm.String
tasksSign,110,2017-09-28T18:30:01.946Z,https://media2.giphy.com/media/l4Jz3qhJJyN08hFtu/200.gif,Edm.String,What are you doing?,Edm.String,https://media2.giphy.com/media/l4Jz3qhJJyN08hFtu/200_s.gif,Edm.String
tasksSign,1100,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/3oz8xJtWexru1gapt6/200.gif,Edm.String,Wendy's,Edm.String,https://media0.giphy.com/media/3oz8xJtWexru1gapt6/200_s.gif,Edm.String
tasksSign,1101,2017-09-28T18:30:04.241Z,https://media0.giphy.com/media/l3vRojy6akGNQCtO0/200.gif,Edm.String,Warning Light,Edm.String,https://media0.giphy.com/media/l3vRojy6akGNQCtO0/200_s.gif,Edm.String
tasksSign,1102,2017-09-28T18:30:04.241Z,https://media2.giphy.com/media/3o7TKtuFM2N0FqIPn2/200.gif,Edm.String,Meatball,Edm.String,https://media2.giphy.com/media/3o7TKtuFM2N0FqIPn2/200_s.gif,Edm.String
tasksSign,1103,2017-09-28T18:30:04.241Z,https://media3.giphy.com/media/l0Hlykk89a82XkD6w/200.gif,Edm.String,Engine,Edm.String,https://media3.giphy.com/media/l0Hlykk89a82XkD6w/200_s.gif,Edm.String
tasksSign,1104,2017-09-28T18:30:04.241Z,https://media0.giphy.com/media/l0MYtF4mR9dPifOpy/200.gif,Edm.String,Shirt,Edm.String,https://media0.giphy.com/media/l0MYtF4mR9dPifOpy/200_s.gif,Edm.String
tasksSign,1105,2017-09-28T18:30:04.241Z,https://media3.giphy.com/media/l0MYDA1hqpy40SYdq/200.gif,Edm.String,Kid or Child,Edm.String,https://media3.giphy.com/media/l0MYDA1hqpy40SYdq/200_s.gif,Edm.String
